PATH	BEFORE_SHA256	AFTER_SHA256	REASON
REPRODUCTION/posterior_attribution/official_fetch_records/OFFICIAL_ARCHIVE_METADATA_INTERPRETATION.md		0c4b8485dffafde2df17fc14f820a4c5953d7eb363ec3446a49ec9f804a70b0f	Document ETag mismatch and distinguish full-archive materialization from selected-member acquisition
REPRODUCTION/posterior_attribution/official_fetch_records/verify_official_fetch_provenance.py		9b4b10dc8b4551d303bdc0b2c65ee9e7458a6b9eef20fb2843565a91f1fbbc72	Add scoped verifier for normalized Phase2C acquisition provenance
REPRODUCTION/posterior_attribution/README.md	879c10fc6594404843dbaff608abb13e27a1f94c8477554489d9a3849e66d3cf	40d77a716be857b31ea614aca8b90a196bc8fc88ea5e35dd4843f34b25db105d	Update official empty-cache status and ETag boundary
README.md	f8f521fe9b1631a41e0c337fd42f9d29ca466419495d302a3a83e11d88b4b328	e6b0d0fe99c4542ba778f6bb3570d5d1bb9a0c5986108c5c521a715513cedae2	Synchronize PRETAG documentation with successful Phase2C official acquisition evidence
README_JA.md	9aa3bec3c9bd3eea8ab3225402d16735e35549d28ec1f2c85f45103a77291a2b	08d04b26d186c7eb011841fed210220c9fe9fa1c27a381f9e8267836b7230729	Synchronize PRETAG documentation with successful Phase2C official acquisition evidence
README.txt	895cf7cbfc613da2e0093458229a6c8687e3ef5adf7a7adc94fa103d415988a0	6a7df0228e2a3be6c95e696ffb423fd4f02d2de6402222ad0d64d8a835eea10a	Synchronize PRETAG documentation with successful Phase2C official acquisition evidence
REPRODUCIBILITY.md	1e6bb6895042094eb2c88d88753861157625c7629382a49becb146bb8af7c89e	1815b63f95d7a069d1b22d537e9c8801ba212836bff644c80f35591af1beaff4	Synchronize PRETAG documentation with successful Phase2C official acquisition evidence
RELEASE_CHECKLIST.md	7cefa81eff4348a7002d21a733d8c931fff80a98e1952daf04d87193a951b2f0	67ae47dae92ca9b68dd8622e57e2a7606d9e5f2dd70916c60878f54238fe8687	Synchronize PRETAG documentation with successful Phase2C official acquisition evidence
CHANGELOG.md	5da64b774f0985728ce13a78e68e5dfcfcd30a655b30c9c0ee357fef3f8bce82	ba543ccf2c386e04e170e4e9ad8f6377d24e582265444828545f8d91f91ba9fc	Synchronize PRETAG documentation with successful Phase2C official acquisition evidence
RELEASE_NOTES_v1.7.0.md	048c43f76f295f13de1eda177d5d98c11ee7a63b881f30ab8ea79a41b217addc	255acc5ff4de04f2cd2094fe207b6df2048464c4c38e226c37ef5935b4051301	Synchronize PRETAG documentation with successful Phase2C official acquisition evidence
PROVENANCE/REEXECUTION_EVIDENCE_REGISTER.tsv	1aeed0ecd2d58cba15e949b477732b4d7ca6266d42a4f7f3501639ba2ff6137d	d5cf0d57bf9f788992dd38fbe34f86d8fa69f98bca3319270560f68afa0af884	Add official empty-cache range acquisition and ETag limitation to E002 provenance
PROVENANCE/REPRODUCTION_STATUS.tsv	3f5ffe43f78f1d734693ceb6bbce0ed19ec92e89e5be324ce1b97d407d889042	1f6183e86e7f4ad703334695bd144a0aa2fa0b09f2858e7ae30b71e533aa8588	Add official empty-cache range acquisition and ETag limitation to E002 provenance
REPRODUCTION/posterior_attribution/official_fetch_records/historical_dns_blocked_attempt/OFFICIAL_ARCHIVE_VERIFICATION.tsv		9cda081e851bd045edf1513c5c486722b638bbbba241547f61881d2008f1aaf0	Preserve the superseded DNS-blocked attempt as immutable historical evidence
REPRODUCTION/posterior_attribution/official_fetch_records/historical_dns_blocked_attempt/OFFICIAL_FETCH_EMPTY_CACHE_RUN_LOG.txt		c9c6ca471910348a27bad3bb503b78e41fda38fa0f31f7b23991215269a466f2	Preserve the superseded DNS-blocked attempt as immutable historical evidence
REPRODUCTION/posterior_attribution/official_fetch_records/historical_dns_blocked_attempt/OFFICIAL_FETCH_ENVIRONMENT.json		e4bb2e14ca016d69fa1ce23dfad950e0fc83b6cc8dce6a1ffe2f2b067cffe9fc	Preserve the superseded DNS-blocked attempt as immutable historical evidence
REPRODUCTION/posterior_attribution/official_fetch_records/historical_dns_blocked_attempt/OFFICIAL_FETCH_RESULT.txt		186e01f4777934131ff8fbe989219dfa2f32e1d73f4e084d0098ca158f033f83	Preserve the superseded DNS-blocked attempt as immutable historical evidence
REPRODUCTION/posterior_attribution/official_fetch_records/historical_dns_blocked_attempt/OFFICIAL_FETCH_SHA256SUMS.txt		019c20650275a144cf28183739bac7cd00317ae804114fd63f7ce18fc77021d9	Preserve the superseded DNS-blocked attempt as immutable historical evidence
REPRODUCTION/posterior_attribution/official_fetch_records/historical_dns_blocked_attempt/OFFICIAL_SELECTED_MEMBER_VERIFICATION.tsv		fdb098bc7915c8992e795bafd8d15a172e53b8d5d01ac4f5f9a2be458ddfd55a	Preserve the superseded DNS-blocked attempt as immutable historical evidence
