h0dn_row_1based	name	official_row_1based	official_CID	IDSURVEY	catalog_only_classification	delta_m_b	delta_zhel	delta_zcmb	covariance_diagonal_used_for_mapping	delta_err_m_b	covariance_assist_pass	final_candidate	final_dependency_classification
19	2005bg	367	2005bg	5	CATALOG_ONLY_UNIQUE	0.00019999999999953388	0	0	NO	1.9513877412558056e-06		YES	CATALOG_ONLY_UNIQUE
20	2009D	368	2009D	5	CATALOG_ONLY_UNIQUE	0	0	0	NO	2.1178837642243931e-06		YES	CATALOG_ONLY_UNIQUE
21	2009D	369	2009D	51	CATALOG_ONLY_UNIQUE	0.00039999999999906777	0	0	NO	1.4362940083945119e-06		YES	CATALOG_ONLY_UNIQUE
22	2009D	370	2009D	65	CATALOG_ONLY_UNIQUE	0.00030000000000107718	0	0	NO	1.5340064393742914e-06		YES	CATALOG_ONLY_UNIQUE
23	PS16ccn	371	PS16ccn	150	CATALOG_ONLY_UNIQUE	0.00039999999999906777	0	0	NO	2.5819523908621189e-06		YES	CATALOG_ONLY_UNIQUE
24	ASASSN-16hz	377	ASASSN-16hz	150	CATALOG_ONLY_UNIQUE	0.00019999999999953388	0	0	NO	3.324326136977529e-06		YES	CATALOG_ONLY_UNIQUE
25	2003he	378	2003he	57	CATALOG_ONLY_UNIQUE	0.00019999999999953388	0	0	NO	3.0200021038928604e-06		YES	CATALOG_ONLY_UNIQUE
26	2001cj	379	2001cj	57	CATALOG_ONLY_UNIQUE	0.00029999999999930083	0	0	NO	1.6902948246078076e-06		YES	CATALOG_ONLY_UNIQUE
27	Gaia16agf	380	Gaia16agf	150	CATALOG_ONLY_UNIQUE	0.00019999999999953388	0	0	NO	1.8714316799284259e-06		YES	CATALOG_ONLY_UNIQUE
28	2007cq	381	2007cq	56	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	4.1054326733180879e-06		YES	CATALOG_ONLY_UNIQUE
29	2007cq	382	2007cq	64	CATALOG_ONLY_UNIQUE	0.00019999999999953388	0	0	NO	3.6785543659212383e-06		YES	CATALOG_ONLY_UNIQUE
30	2003it	383	2003it	63	CATALOG_ONLY_UNIQUE	0	0	0	NO	4.9108024574029407e-06		YES	CATALOG_ONLY_UNIQUE
31	2007cq	384	2007cq	57	CATALOG_ONLY_UNIQUE	0	0	0	NO	1.2421144993113309e-07		YES	CATALOG_ONLY_UNIQUE
32	2011dn	386	2011dn	56	CATALOG_ONLY_UNIQUE	0.00029999999999930083	0	0	NO	4.2268832590452998e-06		YES	CATALOG_ONLY_UNIQUE
33	2007sw	387	2007sw	65	CATALOG_ONLY_UNIQUE	0.00030000000000107718	0	0	NO	3.3759384054921071e-06		YES	CATALOG_ONLY_UNIQUE
34	2012bh	388	2012bh	51	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	3.5778759112092828e-06		YES	CATALOG_ONLY_UNIQUE
35	2002bf	394	2002bf	50	CATALOG_ONLY_UNIQUE	0.00029999999999930083	0	0	NO	4.7648644578568433e-06		YES	CATALOG_ONLY_UNIQUE
36	PS15ahs	396	PS15ahs	150	CATALOG_ONLY_UNIQUE	0.00039999999999906777	0	0	NO	2.0799189008047225e-06		YES	CATALOG_ONLY_UNIQUE
37	PSNJ0153424	397	PSNJ0153424	150	CATALOG_ONLY_UNIQUE	0.00019999999999953388	0	0	NO	6.7366836109528094e-07		YES	CATALOG_ONLY_UNIQUE
38	SN2017hn	398	SN2017hn	150	CATALOG_ONLY_UNIQUE	0.0001000000000015433	0	0	NO	2.8144911786709415e-06		YES	CATALOG_ONLY_UNIQUE
39	SN2017ms	400	SN2017ms	150	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	1.9307078454045001e-06		YES	CATALOG_ONLY_UNIQUE
40	2005M	402	2005M	57	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	3.6033712471905677e-06		YES	CATALOG_ONLY_UNIQUE
41	2005M	403	2005M	5	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	2.121656652837034e-06		YES	CATALOG_ONLY_UNIQUE
42	2005M	404	2005M	64	CATALOG_ONLY_UNIQUE	0	0	0	NO	1.6264580475489065e-06		YES	CATALOG_ONLY_UNIQUE
43	SN2017mf	405	SN2017mf	150	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	4.1322055757686549e-07		YES	CATALOG_ONLY_UNIQUE
44	2005ms	409	2005ms	64	CATALOG_ONLY_UNIQUE	0	0	0	NO	3.1063215872317862e-06		YES	CATALOG_ONLY_UNIQUE
45	1999gp	410	1999gp	62	CATALOG_ONLY_UNIQUE	0.00019999999999953388	0	0	NO	2.6934478977447274e-06		YES	CATALOG_ONLY_UNIQUE
46	1999gp	411	1999gp	57	CATALOG_ONLY_UNIQUE	0.00019999999999953388	0	0	NO	4.0716962707576521e-06		YES	CATALOG_ONLY_UNIQUE
47	ASASSN-17at	413	ASASSN-17at	150	CATALOG_ONLY_UNIQUE	0.00030000000000107718	0	0	NO	4.2969577773444012e-06		YES	CATALOG_ONLY_UNIQUE
48	2013fn	415	2013fn	56	CATALOG_ONLY_UNIQUE	0.00019999999999953388	0	0	NO	4.5332204823000932e-06		YES	CATALOG_ONLY_UNIQUE
49	2002eb	416	2002eb	57	CATALOG_ONLY_UNIQUE	0.00029999999999930083	0	0	NO	1.4618445569325456e-07		YES	CATALOG_ONLY_UNIQUE
50	2007co	417	2007co	57	CATALOG_ONLY_UNIQUE	0.00030000000000285354	0	0	NO	2.6646928361628852e-06		YES	CATALOG_ONLY_UNIQUE
51	2007co	418	2007co	56	CATALOG_ONLY_UNIQUE	0.00019999999999953388	0	0	NO	1.0541191007018558e-06		YES	CATALOG_ONLY_UNIQUE
52	2007co	419	2007co	64	CATALOG_ONLY_UNIQUE	0	0	0	NO	1.1540153143918541e-06		YES	CATALOG_ONLY_UNIQUE
53	1992P	420	1992P	50	CATALOG_ONLY_UNIQUE	0	0	0	NO	3.6665413294945104e-06		YES	CATALOG_ONLY_UNIQUE
54	2005na	423	2005na	5	CATALOG_ONLY_UNIQUE	0	0	0	NO	4.2787345711225999e-06		YES	CATALOG_ONLY_UNIQUE
55	2005na	424	2005na	64	CATALOG_ONLY_UNIQUE	0.00019999999999953388	0	0	NO	4.3365133706174674e-09		YES	CATALOG_ONLY_UNIQUE
56	2005na	425	2005na	57	CATALOG_ONLY_UNIQUE	0.00029999999999930083	0	0	NO	3.0059968487983202e-06		YES	CATALOG_ONLY_UNIQUE
57	2010ii	428	2010ii	51	CATALOG_ONLY_UNIQUE	0.00040000000000084412	0	0	NO	3.2837858931766828e-06		YES	CATALOG_ONLY_UNIQUE
58	PSNJ0252467	430	PSNJ0252467	150	CATALOG_ONLY_UNIQUE	0.00029999999999930083	0	0	NO	1.6368009723433108e-06		YES	CATALOG_ONLY_UNIQUE
59	2009aa	431	2009aa	5	CATALOG_ONLY_UNIQUE	0.00039999999999906777	0	0	NO	1.6645416961724724e-06		YES	CATALOG_ONLY_UNIQUE
60	2011hb	432	2011hb	56	CATALOG_ONLY_UNIQUE	0.00040000000000262048	0	0	NO	4.4185581308253674e-06		YES	CATALOG_ONLY_UNIQUE
61	2005eq	433	2005eq	57	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	2.2920166288936672e-06		YES	CATALOG_ONLY_UNIQUE
62	2005eq	434	2005eq	5	CATALOG_ONLY_UNIQUE	0.00029999999999930083	0	0	NO	4.4004848187562118e-07		YES	CATALOG_ONLY_UNIQUE
63	2005eq	435	2005eq	64	CATALOG_ONLY_UNIQUE	0	0	0	NO	4.7426743880613076e-06		YES	CATALOG_ONLY_UNIQUE
64	2009ad	437	2009ad	65	CATALOG_ONLY_UNIQUE	0	0	0	NO	9.8251000762994423e-07		YES	CATALOG_ONLY_UNIQUE
65	2009ad	438	2009ad	5	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	7.3561440813718626e-08		YES	CATALOG_ONLY_UNIQUE
66	2008ar	440	2008ar	57	CATALOG_ONLY_UNIQUE	0.00019999999999953388	0	0	NO	2.7717062546783744e-06		YES	CATALOG_ONLY_UNIQUE
67	2008ar	441	2008ar	5	CATALOG_ONLY_UNIQUE	0.00029999999999930083	0	0	NO	1.9510086363139223e-06		YES	CATALOG_ONLY_UNIQUE
68	2008ar	442	2008ar	65	CATALOG_ONLY_UNIQUE	0	0	0	NO	3.8641178192744263e-06		YES	CATALOG_ONLY_UNIQUE
69	2007is	446	2007is	65	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	4.2573853165639441e-06		YES	CATALOG_ONLY_UNIQUE
70	1998ab	448	1998ab	62	CATALOG_ONLY_UNIQUE	0.00029999999999930083	0	0	NO	4.9141496870908075e-06		YES	CATALOG_ONLY_UNIQUE
71	ASASSN-15la	451	ASASSN-15la	150	CATALOG_ONLY_UNIQUE	0.00020000000000131024	0	0	NO	2.6519296937310699e-06		YES	CATALOG_ONLY_UNIQUE
72	1996C	452	1996C	61	CATALOG_ONLY_UNIQUE	0.00019999999999953388	0	0	NO	2.4507213663149674e-06		YES	CATALOG_ONLY_UNIQUE
73	PS16cvc	453	PS16cvc	150	CATALOG_ONLY_UNIQUE	0.00019999999999953388	0	0	NO	2.5028748960875813e-06		YES	CATALOG_ONLY_UNIQUE
74	ASASSN-15fs	454	ASASSN-15fs	150	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	3.1591475661563173e-06		YES	CATALOG_ONLY_UNIQUE
75	PSNJ0859349	457	PSNJ0859349	150	CATALOG_ONLY_UNIQUE	0	0	0	NO	1.0782665685049597e-06		YES	CATALOG_ONLY_UNIQUE
76	LSQ12gdj	459	LSQ12gdj	56	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	1.6722244236822004e-06		YES	CATALOG_ONLY_UNIQUE
77	2000cw	460	2000cw	57	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	1.0841975922881719e-06		YES	CATALOG_ONLY_UNIQUE
78	2002de	461	2002de	57	CATALOG_ONLY_UNIQUE	0.00019999999999953388	0	0	NO	4.9255137892501022e-06		YES	CATALOG_ONLY_UNIQUE
79	ASASSN-16hh	465	ASASSN-16hh	18	CATALOG_ONLY_UNIQUE	0.00049999999999883471	0	0	NO	4.0549138337897528e-06		YES	CATALOG_ONLY_UNIQUE
80	Gaia16bba	467	Gaia16bba	150	CATALOG_ONLY_UNIQUE	0.00040000000000262048	0	0	NO	7.6569655976799211e-08		YES	CATALOG_ONLY_UNIQUE
81	2004ef	469	2004ef	57	CATALOG_ONLY_UNIQUE	0.00049999999999883471	0	0	NO	3.0458215427853208e-06		YES	CATALOG_ONLY_UNIQUE
82	2004ef	470	2004ef	5	CATALOG_ONLY_UNIQUE	0.0002000000000030866	0	0	NO	4.1052886698145219e-06		YES	CATALOG_ONLY_UNIQUE
83	2004ef	471	2004ef	64	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	1.0733418245034709e-06		YES	CATALOG_ONLY_UNIQUE
84	AT2017lm	473	AT2017lm	150	CATALOG_ONLY_UNIQUE	0.0002000000000030866	0	0	NO	1.8207647672630056e-06		YES	CATALOG_ONLY_UNIQUE
85	ASASSN-16hr	479	ASASSN-16hr	150	CATALOG_ONLY_UNIQUE	0.00019999999999953388	0	0	NO	1.2862989242634626e-06		YES	CATALOG_ONLY_UNIQUE
86	1990O	481	1990O	50	CATALOG_ONLY_UNIQUE	0.00039999999999906777	0	0	NO	4.1533911800117895e-06		YES	CATALOG_ONLY_UNIQUE
87	2008gg	487	2008gg	51	CATALOG_ONLY_UNIQUE	0	0	0	NO	8.2270200207901212e-08		YES	CATALOG_ONLY_UNIQUE
88	2008gg	488	2008gg	5	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	3.3537150284368433e-06		YES	CATALOG_ONLY_UNIQUE
89	1999cc	489	1999cc	62	CATALOG_ONLY_UNIQUE	0.00029999999999930083	0	0	NO	1.1266461952819107e-06		YES	CATALOG_ONLY_UNIQUE
90	2007bd	492	2007bd	51	CATALOG_ONLY_UNIQUE	0.00029999999999930083	0	0	NO	3.432162102329217e-06		YES	CATALOG_ONLY_UNIQUE
91	2007bd	493	2007bd	5	CATALOG_ONLY_UNIQUE	0.00029999999999930083	0	0	NO	2.0873808630889057e-06		YES	CATALOG_ONLY_UNIQUE
92	2007bd	494	2007bd	64	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	2.3034498853463647e-06		YES	CATALOG_ONLY_UNIQUE
93	ASASSN-15hg	499	ASASSN-15hg	150	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	3.6916082052362853e-08		YES	CATALOG_ONLY_UNIQUE
94	ATLAS17axb	500	ATLAS17axb	150	CATALOG_ONLY_UNIQUE	0.0002000000000030866	0	0	NO	1.6255150512567429e-06		YES	CATALOG_ONLY_UNIQUE
95	CSS160428	502	CSS160428	150	CATALOG_ONLY_UNIQUE	0.00030000000000285354	0	0	NO	3.0638435005725384e-06		YES	CATALOG_ONLY_UNIQUE
96	2000dn	503	2000dn	57	CATALOG_ONLY_UNIQUE	0	0	0	NO	2.78094391885364e-06		YES	CATALOG_ONLY_UNIQUE
97	2006en	504	2006en	57	CATALOG_ONLY_UNIQUE	0.00040000000000262048	0	0	NO	2.6197778221492829e-06		YES	CATALOG_ONLY_UNIQUE
98	2006en	505	2006en	64	CATALOG_ONLY_UNIQUE	0.00029999999999930083	0	0	NO	1.2251439268640141e-07		YES	CATALOG_ONLY_UNIQUE
99	2008bq	506	2008bq	5	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	2.1950289737227013e-06		YES	CATALOG_ONLY_UNIQUE
100	ASASSN-16oz	507	ASASSN-16oz	150	CATALOG_ONLY_UNIQUE	0.00019999999999953388	0	0	NO	3.0414086513164129e-06		YES	CATALOG_ONLY_UNIQUE
101	2006az	508	2006az	64	CATALOG_ONLY_UNIQUE	0.00039999999999906777	0	0	NO	1.0115985143582806e-06		YES	CATALOG_ONLY_UNIQUE
102	010026	509	010026	15	CATALOG_ONLY_UNIQUE	0.00039999999999906777	0	0	NO	4.2907702259842306e-06		YES	CATALOG_ONLY_UNIQUE
103	AT2017po	510	AT2017po	150	CATALOG_ONLY_UNIQUE	0	0	0	NO	2.591816837704819e-06		YES	CATALOG_ONLY_UNIQUE
104	2007ux	513	2007ux	5	CATALOG_ONLY_UNIQUE	0.00019999999999953388	0	0	NO	1.1661932730056002e-06		YES	CATALOG_ONLY_UNIQUE
105	ASASSN-15pr	515	ASASSN-15pr	150	CATALOG_ONLY_UNIQUE	0.00019999999999953388	0	0	NO	3.393198139356457e-06		YES	CATALOG_ONLY_UNIQUE
106	SN2016hpx	519	SN2016hpx	150	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	3.009966924955032e-06		YES	CATALOG_ONLY_UNIQUE
107	SN2017cii	520	SN2017cii	150	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	2.2362542326515022e-06		YES	CATALOG_ONLY_UNIQUE
108	2006te	521	2006te	64	CATALOG_ONLY_UNIQUE	0.00019999999999953388	0	0	NO	3.085947651082499e-06		YES	CATALOG_ONLY_UNIQUE
109	2004as	523	2004as	57	CATALOG_ONLY_UNIQUE	0.00039999999999906777	0	0	NO	2.6684072522431546e-06		YES	CATALOG_ONLY_UNIQUE
110	2004as	524	2004as	63	CATALOG_ONLY_UNIQUE	0.00030000000000285354	0	0	NO	5.7104854048195541e-07		YES	CATALOG_ONLY_UNIQUE
111	2008gp	527	2008gp	51	CATALOG_ONLY_UNIQUE	0.00019999999999953388	0	0	NO	2.9502612617221535e-06		YES	CATALOG_ONLY_UNIQUE
112	2010ag	528	2010ag	66	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	3.7463008108196139e-06		YES	CATALOG_ONLY_UNIQUE
113	2005iq	529	2005iq	64	CATALOG_ONLY_UNIQUE	0.00029999999999930083	0	0	NO	3.0769685948756065e-06		YES	CATALOG_ONLY_UNIQUE
114	2005iq	530	2005iq	5	CATALOG_ONLY_UNIQUE	0.00039999999999906777	0	0	NO	3.5614791412119651e-06		YES	CATALOG_ONLY_UNIQUE
115	PS15bsq	531	PS15bsq	150	CATALOG_ONLY_UNIQUE	0.00029999999999930083	0	0	NO	4.5724067567060045e-06		YES	CATALOG_ONLY_UNIQUE
116	2004L	532	2004L	63	CATALOG_ONLY_UNIQUE	0	0	0	NO	3.5234007549622692e-06		YES	CATALOG_ONLY_UNIQUE
117	2003gn	533	2003gn	57	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	1.1290470778857475e-06		YES	CATALOG_ONLY_UNIQUE
118	2003cq	534	2003cq	63	CATALOG_ONLY_UNIQUE	0.00039999999999906777	0	0	NO	3.5562102162489673e-06		YES	CATALOG_ONLY_UNIQUE
119	2006S	535	2006S	64	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	4.9232134566312702e-07		YES	CATALOG_ONLY_UNIQUE
120	2006gr	537	2006gr	57	CATALOG_ONLY_UNIQUE	0.00019999999999953388	0	0	NO	4.3152040562488558e-06		YES	CATALOG_ONLY_UNIQUE
121	2006gr	538	2006gr	64	CATALOG_ONLY_UNIQUE	0.00019999999999953388	0	0	NO	2.507553674258034e-06		YES	CATALOG_ONLY_UNIQUE
122	ASASSN-16dw	539	ASASSN-16dw	150	CATALOG_ONLY_UNIQUE	0.00029999999999930083	0	0	NO	3.5355518967217225e-06		YES	CATALOG_ONLY_UNIQUE
123	1996bl	542	1996bl	61	CATALOG_ONLY_UNIQUE	0.00019999999999953388	0	0	NO	4.5967218419568079e-06		YES	CATALOG_ONLY_UNIQUE
124	2003kc	543	2003kc	63	CATALOG_ONLY_UNIQUE	0.00039999999999906777	0	0	NO	3.1537708647388918e-07		YES	CATALOG_ONLY_UNIQUE
125	ASASSN-15jl	545	ASASSN-15jl	150	CATALOG_ONLY_UNIQUE	0.00040000000000262048	0	0	NO	3.2013911074324497e-06		YES	CATALOG_ONLY_UNIQUE
126	1992bg	546	1992bg	50	CATALOG_ONLY_UNIQUE	0.00029999999999930083	0	0	NO	3.88033024203982e-06		YES	CATALOG_ONLY_UNIQUE
127	ASASSN-15tg	550	ASASSN-15tg	150	CATALOG_ONLY_UNIQUE	0	0	0	NO	3.1635459668277743e-06		YES	CATALOG_ONLY_UNIQUE
128	PTSS-16efw	552	PTSS-16efw	150	CATALOG_ONLY_UNIQUE	0	0	0	NO	4.8930935675761678e-06		YES	CATALOG_ONLY_UNIQUE
129	2016fbk	553	2016fbk	51	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	2.6492296541502647e-06		YES	CATALOG_ONLY_UNIQUE
130	1994T	555	1994T	61	CATALOG_ONLY_UNIQUE	0.00049999999999883471	0	0	NO	2.9084903569176479e-06		YES	CATALOG_ONLY_UNIQUE
131	ASASSN-15mi	556	ASASSN-15mi	150	CATALOG_ONLY_UNIQUE	0.00049999999999883471	0	0	NO	2.9432677561558318e-06		YES	CATALOG_ONLY_UNIQUE
132	ASASSN-15ss	557	ASASSN-15ss	150	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	3.335606318904949e-06		YES	CATALOG_ONLY_UNIQUE
133	2001ck	558	2001ck	57	CATALOG_ONLY_UNIQUE	0.00040000000000262048	0	0	NO	1.147578219479195e-06		YES	CATALOG_ONLY_UNIQUE
134	PS15bbn	559	PS15bbn	150	CATALOG_ONLY_UNIQUE	0.00049999999999883471	0	0	NO	4.3925879932571466e-06		YES	CATALOG_ONLY_UNIQUE
135	2008hj	561	2008hj	5	CATALOG_ONLY_UNIQUE	0.00019999999999953388	0	0	NO	3.4209152249137231e-06		YES	CATALOG_ONLY_UNIQUE
136	2008hj	562	2008hj	65	CATALOG_ONLY_UNIQUE	0.00039999999999906777	0	0	NO	1.1068514934042817e-06		YES	CATALOG_ONLY_UNIQUE
137	2002hu	568	2002hu	63	CATALOG_ONLY_UNIQUE	0.00029999999999930083	0	0	NO	3.7182147520076203e-06		YES	CATALOG_ONLY_UNIQUE
138	2000cf	569	2000cf	62	CATALOG_ONLY_UNIQUE	0.00049999999999883471	0	0	NO	4.6196938895404216e-06		YES	CATALOG_ONLY_UNIQUE
139	2001eh	570	2001eh	57	CATALOG_ONLY_UNIQUE	0.00030000000000285354	0	0	NO	4.98525218647905e-07		YES	CATALOG_ONLY_UNIQUE
140	2001eh	571	2001eh	63	CATALOG_ONLY_UNIQUE	0.00029999999999930083	0	0	NO	2.6774413535296526e-06		YES	CATALOG_ONLY_UNIQUE
141	ASASSN-16db	572	ASASSN-16db	150	CATALOG_ONLY_UNIQUE	0.00019999999999953388	0	0	NO	2.1407739173584517e-06		YES	CATALOG_ONLY_UNIQUE
142	AT2016hns	573	AT2016hns	150	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	3.760815521072769e-06		YES	CATALOG_ONLY_UNIQUE
143	ASASSN-15bc	574	ASASSN-15bc	150	CATALOG_ONLY_UNIQUE	0	0	0	NO	5.642015089013519e-07		YES	CATALOG_ONLY_UNIQUE
144	2007jg	575	2007jg	51	CATALOG_ONLY_UNIQUE	0.00030000000000285354	0	0	NO	2.6459128316946856e-06		YES	CATALOG_ONLY_UNIQUE
145	2007jg	576	2007jg	5	CATALOG_ONLY_UNIQUE	0.00049999999999883471	0	0	NO	3.8073095404156376e-06		YES	CATALOG_ONLY_UNIQUE
146	2008gb	579	2008gb	65	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	3.2046749750269665e-06		YES	CATALOG_ONLY_UNIQUE
147	2007O	580	2007O	57	CATALOG_ONLY_UNIQUE	0.00019999999999953388	0	0	NO	1.4555826459428101e-07		YES	CATALOG_ONLY_UNIQUE
148	2007O	581	2007O	64	CATALOG_ONLY_UNIQUE	0.00030000000000285354	0	0	NO	4.9220746321937403e-06		YES	CATALOG_ONLY_UNIQUE
149	2008fr	582	2008fr	65	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	3.0015560928964291e-06		YES	CATALOG_ONLY_UNIQUE
150	2009bv	585	2009bv	65	CATALOG_ONLY_UNIQUE	0.00039999999999906777	0	0	NO	1.2981822113122821e-06		YES	CATALOG_ONLY_UNIQUE
151	2008051	586	2008051	65	CATALOG_ONLY_UNIQUE	0.00049999999999883471	0	0	NO	1.5282392420712387e-06		YES	CATALOG_ONLY_UNIQUE
152	ASASSN-15np	587	ASASSN-15np	150	CATALOG_ONLY_UNIQUE	0	0	0	NO	4.3487714201095873e-06		YES	CATALOG_ONLY_UNIQUE
153	2008dr	591	2008dr	57	CATALOG_ONLY_UNIQUE	0	0	0	NO	1.9664919132383885e-06		YES	CATALOG_ONLY_UNIQUE
154	PS15cze	592	PS15cze	150	CATALOG_ONLY_UNIQUE	0.00039999999999906777	0	0	NO	1.1841292038572426e-06		YES	CATALOG_ONLY_UNIQUE
155	2003fa	593	2003fa	57	CATALOG_ONLY_UNIQUE	0.00029999999999930083	0	0	NO	3.1493122358561276e-07		YES	CATALOG_ONLY_UNIQUE
156	2003fa	594	2003fa	63	CATALOG_ONLY_UNIQUE	0.00019999999999953388	0	0	NO	1.4104839736461816e-06		YES	CATALOG_ONLY_UNIQUE
157	PS16axi	596	PS16axi	150	CATALOG_ONLY_UNIQUE	0.00029999999999930083	0	0	NO	5.930102025125672e-07		YES	CATALOG_ONLY_UNIQUE
158	2009do	598	2009do	65	CATALOG_ONLY_UNIQUE	0.00029999999999930083	0	0	NO	9.1556471561171637e-07		YES	CATALOG_ONLY_UNIQUE
159	2001az	599	2001az	63	CATALOG_ONLY_UNIQUE	0.00029999999999930083	0	0	NO	1.2759847441423666e-06		YES	CATALOG_ONLY_UNIQUE
160	1992bl	601	1992bl	50	CATALOG_ONLY_UNIQUE	9.9999999999766942e-05	0	0	NO	1.8226753644434712e-06		YES	CATALOG_ONLY_UNIQUE
