h0dn_row_1based	official_row_1based	CID	IDSURVEY	survey_label	candidate_path	source_directory	candidate_source_phase	candidate_evidence_label	direct_final_measurement_ancestry
45	410	1999gp	62	CFA2	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/LOWZ_JRK07_1999gp.DAT	PS1_LOWZ_COMBINED_TEXT_DS17	PHASE1D_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
46	411	1999gp	57	LOSS2	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_1999gp.dat	KAIT_DS15	PHASE1E_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
50	417	2007co	57	LOSS2	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2007co.dat	KAIT_DS15	PHASE1E_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
51	418	2007co	56	SOUSA	Pantheon+_Data/1_DATA/photometry/SWIFT/SN2007co.dat	SWIFT	PHASE1D_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
52	419	2007co	64	CFA3K	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007co.DAT	CfA3_DJ20	PHASE1D_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
54	423	2005na	5	CSP	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2005na.DAT	CSPDR3_anthony	PHASE1D_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
55	424	2005na	64	CFA3K	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2005na.DAT	CfA3_DJ20	PHASE1D_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
56	425	2005na	57	LOSS2	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2005na.dat	KAIT_DS15	PHASE1E_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
61	433	2005eq	57	LOSS2	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2005eq.dat	KAIT_DS15	PHASE1E_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
62	434	2005eq	5	CSP	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2005eq.DAT	CSPDR3_anthony	PHASE1D_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
63	435	2005eq	64	CFA3K	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2005eq.DAT	CfA3_DJ20	PHASE1D_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
64	437	2009ad	65	CFA4p2	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2009ad.dat	PS1_LOWZ_COMBINED_TEXT_DS17	PHASE1E_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
65	438	2009ad	5	CSP	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2009ad.DAT	CSPDR3_anthony	PHASE1D_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
66	440	2008ar	57	LOSS2	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2008ar.dat	KAIT_DS15	PHASE1E_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
67	441	2008ar	5	CSP	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2008ar.DAT	CSPDR3_anthony	PHASE1D_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
68	442	2008ar	65	CFA4p2	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2008ar.dat	PS1_LOWZ_COMBINED_TEXT_DS17	PHASE1E_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
81	469	2004ef	57	LOSS2	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2004ef.dat	KAIT_DS15	PHASE1E_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
82	470	2004ef	5	CSP	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2004ef.DAT	CSPDR3_anthony	PHASE1D_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
83	471	2004ef	64	CFA3K	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2004ef.DAT	CfA3_DJ20	PHASE1D_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
87	487	2008gg	51	LOSS1	Pantheon+_Data/1_DATA/photometry/LOSS/2008gg.dat	LOSS	PHASE1E_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
88	488	2008gg	5	CSP	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2008gg.DAT	CSPDR3_anthony	PHASE1D_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
90	492	2007bd	51	LOSS1	Pantheon+_Data/1_DATA/photometry/LOSS/2007bd.dat	LOSS	PHASE1E_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
91	493	2007bd	5	CSP	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2007bd.DAT	CSPDR3_anthony	PHASE1D_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
92	494	2007bd	64	CFA3K	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007bd.DAT	CfA3_DJ20	PHASE1D_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
97	504	2006en	57	LOSS2	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2006en.dat	KAIT_DS15	PHASE1E_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
98	505	2006en	64	CFA3K	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2006en.DAT	CfA3_DJ20	PHASE1D_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
109	523	2004as	57	LOSS2	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2004as.dat	KAIT_DS15	PHASE1E_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
110	524	2004as	63	CFA3S	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_4SHOOTER2_2004as.DAT	CfA3_DJ20	PHASE1D_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
113	529	2005iq	64	CFA3K	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2005iq.DAT	CfA3_DJ20	PHASE1D_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
114	530	2005iq	5	CSP	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2005iq.DAT	CSPDR3_anthony	PHASE1D_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
120	537	2006gr	57	LOSS2	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2006gr.dat	KAIT_DS15	PHASE1E_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
121	538	2006gr	64	CFA3K	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2006gr.DAT	CfA3_DJ20	PHASE1D_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
135	561	2008hj	5	CSP	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2008hj.DAT	CSPDR3_anthony	PHASE1D_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
136	562	2008hj	65	CFA4p2	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2008hj.dat	PS1_LOWZ_COMBINED_TEXT_DS17	PHASE1E_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
139	570	2001eh	57	LOSS2	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2001eh.dat	KAIT_DS15	PHASE1E_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
140	571	2001eh	63	CFA3S	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_4SHOOTER2_2001eh.DAT	CfA3_DJ20	PHASE1D_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
144	575	2007jg	51	LOSS1	Pantheon+_Data/1_DATA/photometry/LOSS/2007jg.dat	LOSS	PHASE1E_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
145	576	2007jg	5	CSP	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2007jg.DAT	CSPDR3_anthony	PHASE1D_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
147	580	2007O	57	LOSS2	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2007O.dat	KAIT_DS15	PHASE1E_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
148	581	2007O	64	CFA3K	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007O.DAT	CfA3_DJ20	PHASE1D_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
155	593	2003fa	57	LOSS2	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2003fa.dat	KAIT_DS15	PHASE1E_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
156	594	2003fa	63	CFA3S	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_4SHOOTER2_2003fa.DAT	CfA3_DJ20	PHASE1D_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
163	605	2007kk	51	LOSS1	Pantheon+_Data/1_DATA/photometry/LOSS/2007kk.dat	LOSS	PHASE1E_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
164	606	2007kk	65	CFA4p2	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2007kk.dat	PS1_LOWZ_COMBINED_TEXT_DS17	PHASE1E_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
172	621	2005hc	64	CFA3K	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2005hc.DAT	CfA3_DJ20	PHASE1D_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
173	622	2005hc	5	CSP	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2005hc.DAT	CSPDR3_anthony	PHASE1D_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
177	630	2008cf	5	CSP	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2008cf.DAT	CSPDR3_anthony	PHASE1D_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
178	631	2008cf	65	CFA4p2	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2008cf.dat	PS1_LOWZ_COMBINED_TEXT_DS17	PHASE1E_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
204	680	2008bz	5	CSP	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2008bz.DAT	CSPDR3_anthony	PHASE1D_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
205	681	2008bz	65	CFA4p2	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2008bz.dat	PS1_LOWZ_COMBINED_TEXT_DS17	PHASE1E_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
213	699	2008Y	51	LOSS1	Pantheon+_Data/1_DATA/photometry/LOSS/2008Y.dat	LOSS	PHASE1E_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
214	700	2008Y	65	CFA4p2	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2008Y.dat	PS1_LOWZ_COMBINED_TEXT_DS17	PHASE1E_ACCEPTED_CORRECTED	FROZEN_PUBLIC_INPUT_CANDIDATE_NOT_FINAL_MEASUREMENT_ANCESTRY	NOT_ESTABLISHED
