h0dn_row_1based	official_row_1based	CID	IDSURVEY	survey_label	candidate_path	source_directory	git_blob_sha1	bytes	sha256	raw_SURVEY	PHOTOMETRY_VERSION	FILTERS_header	VARLIST	NOBS	observation_count	used_filter_tokens	used_filter_token_count	active_list_status	parse_status	evidence_level	direct_final_measurement_ancestry
22	370	2009D	65	CFA4p2	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2009D.dat	PS1_LOWZ_COMBINED_TEXT_DS17	dcf7c0969e7895ccb080a1390789f89d2dcb0d6f	5986	d322808ae851b39b26fbdac0ebcd8cc99f2414d84ea8b8241655fd48ce666a54	PS1_LOWZ_COMBINED(CFA4p1)	CFA4	abcdefghijklmnopqrstuvwxyzABCDEFGHIJK	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	68	68	l;m;n;o	4	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
28	381	2007cq	56	SOUSA	Pantheon+_Data/1_DATA/photometry/SWIFT/SN2007cq.dat	SWIFT	902ad8ca18c24722b17519e1772a61108fb146ee	3542	7b5e9d515e21741d71e4a7792e073a55df57e55f319302e2d0814e0aaf208d43	SWIFT	SWIFTNEW	BNUVWX	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	64	64	B;N;U;V;W;X	6	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
29	382	2007cq	64	CFA3K	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007cq.DAT	CfA3_DJ20	4bf6012dc0dae6778d74f3b34915338f10a9bbdb	9466	4218e642b742d2d352bb10ff9852618c5a474843892a4051a70a106e5a0bd0c8	PS1_LOWZ_COMBINED(CFA3K)		abcdefghijklmnopqrstuvwxyzABCDEFGHIJK	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	111	111	g;h;i;j	4	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
31	384	2007cq	57	LOSS2	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2007cq.dat	KAIT_DS15	80d28ec74388895abfff9a8d7a4972e811eb1bf9	5296	a7d8b2cd14e2acb71248eb00e3318bdac6dbfd70c5d53dde8b4c7a5690ac3f09	KAITM	LOSS	ABCDEFGHIJKLMNOPabcdefgh	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	91	91	E;F;G;H	4	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
40	402	2005M	57	LOSS2	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2005M.dat	KAIT_DS15	8d873465ab0ae430fa7d48c12c6130dfa4ca336a	4672	534f4ed04e70f3131621d5e37e64a8818b5515be3f6914121d1fffb011bb3395	KAITM	LOSS	ABCDEFGHIJKLMNOPabcdefgh	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	79	79	A;B;C;D	4	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
41	403	2005M	5	CSP	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2005M.DAT	CSPDR3_anthony	6d9fdaa9429ffe884682cd245cef7cefe33ddac9	25283	b254839ffcf7d64ea67b8996a885018c5345e4e5e22290b91fc994324a9b5e5c	CSP		ugriBnmoJjYyH	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	381	381	B;H;J;g;i;m;r;u;y	9	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
42	404	2005M	64	CFA3K	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2005M.DAT	CfA3_DJ20	1774bcd7d530b684ad57338c5f9663c75fdfea37	2664	e960c987034aebcdd0ee3cc7bf82bf6cbfa1c748c3d0dcd84061af804107f4e1	PS1_LOWZ_COMBINED(CFA3K)		abcdefghijklmnopqrstuvwxyzABCDEFGHIJK	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	26	26	f;g;h;i;j	5	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
45	410	1999gp	62	CFA2	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/LOWZ_JRK07_1999gp.DAT	PS1_LOWZ_COMBINED_TEXT_DS17	152a732ed888105184b6d803756ad31053f5228f	13139	4feac81b9f6404c9317f648fc82edf84bf225703a4293150657fadf9e514db87	PS1_LOWZ_COMBINED(CFA2)		abcdefghijklmnopqrstuvwxyzABCDEFGHIJK	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	190	190	G;H;I;J;K	5	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
46	411	1999gp	57	LOSS2	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_1999gp.dat	KAIT_DS15	5f0fbd91ed545b5a4cdccfa45c1622f639674b61	5132	fa5e2538b4d11aa23dd268fe84f8639d13ac3a0855489a96cfe6e8eebcb99ed8	KAITM	LOSS	ABCDEFGHIJKLMNOPabcdefgh	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	87	87	e;f;g;h	4	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
50	417	2007co	57	LOSS2	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2007co.dat	KAIT_DS15	08c6a18ece30094b347131c147befe06fa51e605	5456	084e60debe6378c609303082f34b240ea9182528fb7926178cb675e7e56bd764	KAITM	LOSS	ABCDEFGHIJKLMNOPabcdefgh	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	94	94	E;F;G;H	4	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
51	418	2007co	56	SOUSA	Pantheon+_Data/1_DATA/photometry/SWIFT/SN2007co.dat	SWIFT	4e483f46f9bc61009ba0358d9413d5e03ddf72e9	2586	982703809abc3764a86843e1d98639d875907accbdea8f62b38699fd9f042cdc	SWIFT	SWIFTNEW	BNUVWX	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	44	44	B;U;V;W;X	5	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
52	419	2007co	64	CFA3K	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007co.DAT	CfA3_DJ20	459166ac2f93012c731c8283902de80c13bd38ba	10352	18bc97090cdf56598f5a7032a2c3cac21ec456ad6c26d2f7c091894caf909f9a	PS1_LOWZ_COMBINED(CFA3K)		abcdefghijklmnopqrstuvwxyzABCDEFGHIJK	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	122	122	f;g;h;i;j	5	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
54	423	2005na	5	CSP	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2005na.DAT	CSPDR3_anthony	e5a9dc2206bb68ef5d45d1892b197b28a1fca9a0	11575	bab6ff1fd417ababc82e596b0769caf68b9fd6e03b0426f00721df8f20932c86	CSP		ugriBnmoJjYyH	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	170	170	B;H;J;Y;g;i;m;n;r;u;y	11	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
55	424	2005na	64	CFA3K	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2005na.DAT	CfA3_DJ20	01c088ad8ea27b6e2742e60139d91bb2fb6846cc	7952	b51f333b277ece6232275ee40f017f882b2ba0d97d0240ad7c4ab863b84fb9ec	PS1_LOWZ_COMBINED(CFA3K)		abcdefghijklmnopqrstuvwxyzABCDEFGHIJK	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	92	92	f;g;h;i;j	5	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
56	425	2005na	57	LOSS2	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2005na.dat	KAIT_DS15	016555e5be926a21d0b715eb6529fc0ef6395791	4096	69ad8e36ec1110d405d7ff3cb26252630429a1965d395d8ef2259d95c2a5f907	KAITM	LOSS	ABCDEFGHIJKLMNOPabcdefgh	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	68	68	A;B;C;D;I;J;K;L	8	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
61	433	2005eq	57	LOSS2	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2005eq.dat	KAIT_DS15	a1612ac2da177336cb1a4bc4e911aaf513614c14	5109	64091096b926b5b61414772ac2d660e90c18a82e1255c2392e5261e4cdc680a7	KAITM	LOSS	ABCDEFGHIJKLMNOPabcdefgh	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	87	87	A;B;C;D;I;J;K;L	8	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
62	434	2005eq	5	CSP	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2005eq.DAT	CSPDR3_anthony	245305d11c2a2db54644548e8d98204da1365286	14239	270ce69fd8868281bc94545003441173362b347db901e32e5a7004a36918a4e0	CSP		ugriBnmoJjYyH	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	211	211	B;H;J;Y;g;i;m;r;u;y	10	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
63	435	2005eq	64	CFA3K	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2005eq.DAT	CfA3_DJ20	b1fb313372b6b062a017f91be0fca55ad39bffe2	11870	0db54bb1d1af09cdc1e0cdacd99fee966f38c4e0e1f2ef98f8292064bd9f82b5	PS1_LOWZ_COMBINED(CFA3K)		abcdefghijklmnopqrstuvwxyzABCDEFGHIJK	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	141	141	f;g;h;i;j	5	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
64	437	2009ad	65	CFA4p2	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2009ad.dat	PS1_LOWZ_COMBINED_TEXT_DS17	428cf70ad657f58a5f77b41f644786985c5e8cbd	6454	a515257adb02f179083084cea0e29040c74a780b56bcf10eb27242c8fcd4d6b4	PS1_LOWZ_COMBINED(CFA4p1)	CFA4	abcdefghijklmnopqrstuvwxyzABCDEFGHIJK	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	74	74	l;m;n;o	4	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
65	438	2009ad	5	CSP	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2009ad.DAT	CSPDR3_anthony	3224dd7606ddb830216c2ab3ffcffab9ac8ba271	8837	c431957455b416c3f91172d84436db3ce7c2ecb08cff19b1174a809d5cd64a49	CSP		ugriBnmoJjYyH	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	128	128	B;H;Y;g;i;j;n;r;u	9	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
66	440	2008ar	57	LOSS2	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2008ar.dat	KAIT_DS15	be2d8a918bec2cd231fac0ac0545b031f796e13d	4288	fd2e2802c87a7e0d4a5866a1d24bf1e2f6b6abb2b7287cb908d28e29aad6e97d	KAITM	LOSS	ABCDEFGHIJKLMNOPabcdefgh	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	72	72	E;F;G;H	4	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
67	441	2008ar	5	CSP	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2008ar.DAT	CSPDR3_anthony	5df51a0ebdce79a305bdf67c2c49396be7eeaf22	9105	fa3ebdc6d6b47ed14ac1cc347bb3a7c45b2acea1d9d2a283c8273d2c9e69ba93	CSP		ugriBnmoJjYyH	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	132	132	B;H;J;Y;g;i;n;r;u;y	10	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
68	442	2008ar	65	CFA4p2	Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2008ar.dat	PS1_LOWZ_COMBINED_TEXT_DS17	d2375ad89833406e381a6ad36842d899de095b1a	8849	5065173479c404ef30c5b6ece2ba6b499a756e6f7254c5cb5448a082cf84e87c	PS1_LOWZ_COMBINED(CFA4p1)	CFA4	abcdefghijklmnopqrstuvwxyzABCDEFGHIJK	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	104	104	l;m;n;o	4	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
81	469	2004ef	57	LOSS2	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2004ef.dat	KAIT_DS15	aa2a872349749bef0154f9472a5ffa24364be06e	5610	1000484b48312b678a9a28f87684ba462b66bdb9a4ff82125c512c3e4e928ee0	KAITM	LOSS	ABCDEFGHIJKLMNOPabcdefgh	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	97	97	A;B;C;D;I;J;K;L	8	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
82	470	2004ef	5	CSP	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2004ef.DAT	CSPDR3_anthony	b07e1be51323af674209527520cae1e12eca7cf7	18595	566b89395e31f1140954e6c77653d0a163739d9baf32a8afa414113ebcedcbdf	CSP		ugriBnmoJjYyH	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	278	278	B;H;J;g;i;m;r;u;y	9	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
83	471	2004ef	64	CFA3K	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2004ef.DAT	CfA3_DJ20	44712567be55bc04e11b0bd1d0fd7b958c945813	3151	02878c7ef5200a532acbf1122401c9c24250b51598dfcd3b39e67ffd1e91abea	PS1_LOWZ_COMBINED(CFA3K)		abcdefghijklmnopqrstuvwxyzABCDEFGHIJK	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	32	32	f;g;h;i;j	5	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
87	487	2008gg	51	LOSS1	Pantheon+_Data/1_DATA/photometry/LOSS/2008gg.dat	LOSS	830e32c3558f75dc0d2b007128d737675cea0a21	3118	cc0b336e64e6fa1275bc4896395362739a2597a22dbfc8f6541695906bd1e7de	KAIT	LOSS	ABCDEFGHIJKLMNOP	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	55	55	E;F;G;H;I;J;K;L	8	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
88	488	2008gg	5	CSP	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2008gg.DAT	CSPDR3_anthony	51af12da5d6ea339cfbdf242dc701c7c16a24f1c	13395	da05c484a6cae222e86d0127e7fdfca26166d41cdea94b6eab4266a91813d950	CSP		ugriBnmoJjYyH	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	198	198	B;H;J;Y;g;i;n;r;u;y	10	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
90	492	2007bd	51	LOSS1	Pantheon+_Data/1_DATA/photometry/LOSS/2007bd.dat	LOSS	82833cd14394b26f5a3d435a959cc6c88399ff80	1422	010b2f23b608810ba08bd27471c1b1e93fd8b975914ac7c2791860874ddaa0b9	KAIT	LOSS	ABCDEFGHIJKLMNOP	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	20	20	A;B;C;D;F;I;J;K;L	9	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
91	493	2007bd	5	CSP	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2007bd.DAT	CSPDR3_anthony	defc38c8c161450ea9ac1138c7e66a1d8d47638e	7670	d001faf2bcf62d6da27057a94db6fd6c33bf98a29e59e47aee0b16b08ffa1263	CSP		ugriBnmoJjYyH	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	110	110	B;H;J;Y;g;i;n;r;u;y	10	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
92	494	2007bd	64	CFA3K	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007bd.DAT	CfA3_DJ20	2856af6c6e05924c7ba1a3a37015efa43e427a8d	4266	ff42b5e2370ab753f3ca7858c9159621928aa5a0f902fad4259bd8657ab6ac34	PS1_LOWZ_COMBINED(CFA3K)		abcdefghijklmnopqrstuvwxyzABCDEFGHIJK	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	46	46	g;h;i;j	4	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
97	504	2006en	57	LOSS2	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2006en.dat	KAIT_DS15	c43989d94f68784a9ffa1e0147a8cee6d73c73d2	3916	1515dc106bcc57cdb447041886b52a12b7e6ff3319fedbac8574de67c0811795	KAITM	LOSS	ABCDEFGHIJKLMNOPabcdefgh	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	65	65	A;B;C;D	4	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
98	505	2006en	64	CFA3K	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2006en.DAT	CfA3_DJ20	a76833b2a9a37f3fe3393bce47e7623a56a0d2e5	5228	fb47a2e245acb1dd78ae7ccee831f52a18d7c0581a93f289e079f35bb33bc13a	PS1_LOWZ_COMBINED(CFA3K)		abcdefghijklmnopqrstuvwxyzABCDEFGHIJK	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	58	58	g;h;i;j	4	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
109	523	2004as	57	LOSS2	Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2004as.dat	KAIT_DS15	94ede1ff4fb91e3eb8cc68dc37bdc029dcbe4cf6	5314	6779ee5195cad306d9a526bb0358a89c34af608c9433fa24bba58f57854dafd1	KAITM	LOSS	ABCDEFGHIJKLMNOPabcdefgh	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	91	91	A;B;C;D;I;J;K;L	8	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
110	524	2004as	63	CFA3S	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_4SHOOTER2_2004as.DAT	CfA3_DJ20	5a8fb4709c9ea2c2dc17e37e162013ff9aee0b60	4671	e7399e1fa3dbb190ec45b9ecb69a779e37cdb396cd77b02074f1e0515e666eec	PS1_LOWZ_COMBINED(CFA3S)		abcdefghijklmnopqrstuvwxyzABCDEFGHIJK	MJD;FLT;FIELD;FLUXCAL;FLUXCALERR;MAG;MAGERR	51	51	a;b;c;d;e	5	PASS	PASS	FROZEN_PUBLIC_INPUT_CANDIDATE_FILE_CONTENT	NOT_ESTABLISHED
