claim_id	manuscript_section	claim_summary	evidence_level	reproduction_class	runner	external_inputs	acceptance	limitation	evidence_path
P-SS-003	5.2	The fixed Pantheon+ public source state does not uniquely specify a matched truth-to-fit-to-BBC-pre/post-to-covariance end-to-end validation bundle.	PUBLIC_SOURCE_COMPLETENESS_RECORD	BOUNDED_TRACEABILITY_REPLAY	tools/replay_evidence_claims.py	optional PantheonPlus official records	required-input matrix remains non-unique/incomplete under fixed source state	Insufficient public source completeness does not imply that BBC is incorrect or excessive.	publication_evidence/evidence/bbc/MISSING_INPUT_AND_AMBIGUITY_REGISTER.tsv
P-SS-004	5.3; Supplement A	The H0DN public baseline is reproduced under the fixed public code, data, and numerical specification.	RECORDED_NUMERICAL_RESULT	EXACT_REEXECUTION_WITH_PUBLIC_INPUTS	publication_evidence/scripts/rebuild_test_vectors_from_h0dn.py -> publication_evidence/scripts/run_internal_validations.py	H0DN_REPO	recorded H0DN/SN values and stated final validation tolerances pass	No corrected or preferred H0 is inferred.	publication_evidence/results/internal_validation_results_recorded.json
P-SS-005	5.3; 8.3; Supplement A	For residuals on covariance support, the target-dependent singular-Gaussian quadratic is invariant under invertible row-coordinate transformations.	MATHEMATICAL_SCOPE	EXACT_DATA_FREE_FIXTURE	publication_evidence/scripts/verify_synthetic_fixtures.py	NONE	exact rational/support and equal-compression fixtures PASS	This on-support statement is distinct from the observed rounded off-support vector evaluated with a projected Moore-Penrose loss.	publication_evidence/SCOPE_AND_NONCLAIMS.md
P-SS-006	5.3; Supplement A	For the rounded off-support H0DN vector, the tested non-orthogonal row rescaling changes the target by about -0.052445422611 km s^-1 Mpc^-1 under the projected Moore-Penrose loss.	FINAL_VALIDATION_RECORD	EXACT_REEXECUTION_WITH_PUBLIC_INPUTS	publication_evidence/scripts/rebuild_test_vectors_from_h0dn.py -> publication_evidence/scripts/run_internal_validations.py	H0DN_REPO	recorded H0DN/SN values and stated final validation tolerances pass	The result is specific to the public rounded vector, tested scaling, and projected-loss prescription; it does not establish general singular-Gaussian non-invariance.	publication_evidence/evidence/final_validation/MECHANISM_CONTROL_SUMMARY.tsv
P-SS-007	5.4; 8.2; Supplement B	The 277-row scalar compression preserves the fixed-covariance one-intercept target likelihood but omits a residual chi-square of 206.7606364373241 for 276 degrees of freedom.	RECORDED_NUMERICAL_RESULT	EXACT_REEXECUTION_WITH_PUBLIC_INPUTS	publication_evidence/scripts/rebuild_test_vectors_from_h0dn.py -> publication_evidence/scripts/run_internal_validations.py	H0DN_REPO	recorded H0DN/SN values and stated final validation tolerances pass	Statistical sufficiency is restricted to the stated one-intercept linear Gaussian target model and does not imply preservation of residual diagnostic information.	publication_evidence/results/internal_validation_results_recorded.json
P-SS-008	5.5; 8.2; Supplement B	Within the already-low aggregate residual, an unusually low component is localized to 39 same-name contrast degrees of freedom and remains low under the tested covariance variants.	RECORDED_NUMERICAL_RESULT	EXACT_REEXECUTION_WITH_PUBLIC_INPUTS	publication_evidence/scripts/independent_verify_same_cid.py	H0DN_REPO;PANTHEONPLUS_REPO	277 mappings; covariance/contrast variants; recorded same-name checks pass	The evidence does not establish a complete prospective search history over candidate subspaces or a multiplicity-adjusted confirmatory significance; no cause, dependence, row action, or covariance correction is established.	publication_evidence/results/audit_summary.json
P-SS-009	5.5; 8.4; Supplement B	Public mapping identifies candidate inputs, filters, and configuration information, but does not uniquely connect executed photometry-to-final-row production provenance.	RECORDED_EVIDENCE	BOUNDED_TRACEABILITY_REPLAY	reproduction/second_season/snia_same_cid/phase1d..phase1f clean reproduction scripts + tools/replay_evidence_claims.py	H0DN_REPO;PantheonPlus/public photometry sources as declared by phase source locks	candidate-input/filter/config coverage reproduced; executed final-row ancestry remains unclosed	Candidate-input coverage is not equivalent to exact executed ancestry.	publication_evidence/evidence/second_season/CLAIM_AND_NONCLAIM_LEDGER.tsv
P-CS-001	Abstract; 2.3; 10	No unresolved contradiction among the specific audited claims remained after aligning the claim, source product, numerical specification, quantity, and version/date.	CONSISTENCY_REVIEW_RECORD	DETERMINISTIC_EVIDENCE_REPLAY	tools/replay_evidence_claims.py	NONE	fixed machine-readable records agree with the stated claim and scope	The comparison retains material qualifications and does not imply that all analyses are equally complete.	publication_evidence/evidence/cross_season/CROSS_SEASON_CONTRADICTION_LEDGER.tsv
P-CS-002	3	The manuscript separates seven evidence dimensions: data-product identity, numerical output traceability, relation between representations, target-inference preservation, diagnostic information retention, computational provenance, and generative/causal support.	METHOD_FRAMEWORK	DETERMINISTIC_EVIDENCE_REPLAY	tools/replay_evidence_claims.py	NONE	fixed machine-readable records agree with the stated claim and scope	The dimensions are independent qualitative questions, not a cumulative score, validated scale, or universal theory.	publication_evidence/evidence/cross_season/EVIDENCE_COORDINATE_MATRIX.tsv
P-CS-003	3 Figure 2; 8.1	Support at an earlier evidence dimension does not by itself establish a later provenance or causal dimension.	METHOD_BOUNDARY	DETERMINISTIC_EVIDENCE_REPLAY	tools/replay_evidence_claims.py	NONE	fixed machine-readable records agree with the stated claim and scope	No frequency or ranking claim across cosmology pipelines is made.	publication_evidence/evidence/cross_season/STATUS_SCHEMA.md
P-FV-001	7	All 24 final-validation checks (15 H0DN and 9 supernova-block checks) passed.	FINAL_VALIDATION_RECORD	EXACT_REEXECUTION_WITH_PUBLIC_INPUTS	publication_evidence/scripts/rebuild_test_vectors_from_h0dn.py -> publication_evidence/scripts/run_internal_validations.py	H0DN_REPO	recorded H0DN/SN values and stated final validation tolerances pass	These checks validate the stated numerical contracts; they are not external independent replication.	publication_evidence/evidence/final_validation/VALIDATION_GATE_REGISTER.tsv
P-FV-002	7; Supplement A	High-precision, orthogonal, congruence, and support controls support the bounded H0DN projected-loss interpretation.	FINAL_VALIDATION_RECORD	EXACT_REEXECUTION_WITH_PUBLIC_INPUTS	publication_evidence/scripts/rebuild_test_vectors_from_h0dn.py -> publication_evidence/scripts/run_internal_validations.py	H0DN_REPO	recorded H0DN/SN values and stated final validation tolerances pass	No preferred physical representation, covariance correction, or external replication is established.	publication_evidence/evidence/final_validation/MECHANISM_CONTROL_SUMMARY.tsv
P-FV-003	7; Supplement A	The exact rational fixture changes 1/2 to 1/5 under non-orthogonal scaling while preserving 1/2 under an orthogonal rotation.	EXACT_DATA_FREE_FIXTURE	EXACT_DATA_FREE_FIXTURE	publication_evidence/scripts/verify_synthetic_fixtures.py	NONE	exact rational/support and equal-compression fixtures PASS	The fixture demonstrates mathematical possibility only.	publication_evidence/evidence/final_validation/exact_fixtures/H0DN_EXACT_RATIONAL_FIXTURE.json
P-FV-004	7; Supplement B	Exact synthetic vectors can have identical scalar compression while their residual χ² values are 2 and 8.	EXACT_DATA_FREE_FIXTURE	EXACT_DATA_FREE_FIXTURE	publication_evidence/scripts/verify_synthetic_fixtures.py	NONE	exact rational/support and equal-compression fixtures PASS	The result applies to the stated fixed-covariance one-intercept class.	publication_evidence/evidence/final_validation/exact_fixtures/SN_EQUAL_COMPRESSION_UNEQUAL_RESIDUAL_FIXTURE.json
P-FV-005	7; Supplement B	The specified same-name validation script passed all 24 of its own predefined checks and a separately written implementation also passed.	FINAL_VALIDATION_RECORD	EXACT_REEXECUTION_WITH_PUBLIC_INPUTS	publication_evidence/scripts/independent_verify_same_cid.py	H0DN_REPO;PANTHEONPLUS_REPO	277 mappings; covariance/contrast variants; recorded same-name checks pass	This is robustness for the specified statistic and code paths, not external replication or multiplicity-adjusted discovery significance.	publication_evidence/evidence/final_validation/MECHANISM_CONTROL_SUMMARY.tsv
P-FV-006	7; 8.5; 10	No additional analysis of the unchanged evidence was considered scientifically informative after the stated validation set; new external evidence can motivate additional analysis.	METHOD_BOUNDARY	DETERMINISTIC_EVIDENCE_REPLAY	tools/replay_evidence_claims.py	NONE	fixed machine-readable records agree with the stated claim and scope	This is a scope decision for repeated analysis of the same evidence, not closure of the scientific question.	publication_evidence/evidence/final_validation/STOP_RECORD.md
P-NC-001	Abstract; 9; 10	No corrected, preferred, or replacement H0 is established.	FORMAL_NONCLAIM	DETERMINISTIC_EVIDENCE_REPLAY	tools/replay_evidence_claims.py	NONE	fixed machine-readable records agree with the stated claim and scope	Explicit nonclaim.	publication_evidence/SCOPE_AND_NONCLAIMS.md
P-NC-002	Abstract; 9; 10	No revised tension significance, unique cause, solution to the Hubble tension, or new physics is established.	FORMAL_NONCLAIM	DETERMINISTIC_EVIDENCE_REPLAY	tools/replay_evidence_claims.py	NONE	fixed machine-readable records agree with the stated claim and scope	Explicit nonclaim.	publication_evidence/SCOPE_AND_NONCLAIMS.md
P-NC-003	2.2; 9; AI disclosure	AI-assisted implementations produced within the project are not external independent replication.	FORMAL_NONCLAIM	DETERMINISTIC_EVIDENCE_REPLAY	tools/replay_evidence_claims.py	NONE	fixed machine-readable records agree with the stated claim and scope	External independent replication is not established.	publication_evidence/AI_ASSISTANCE_DISCLOSURE.md
P-NC-004	Data and Code Availability	Third-party raw data, posterior archives, HDF5 chains, large covariance arrays, and papers are not redistributed.	PACKAGE_BOUNDARY	DETERMINISTIC_EVIDENCE_REPLAY	tools/replay_evidence_claims.py	NONE	fixed machine-readable records agree with the stated claim and scope	Readers obtain official source products separately under their source-specific terms.	publication_evidence/THIRD_PARTY_NOTICES.md
