h0dn_row_1based	official_row_1based	CID	IDSURVEY	survey_label	main_lineage_status	cid_only_candidate_count	cid_only_candidate_paths	cid_only_candidate_directories	cid_only_candidate_SURVEY_headers	candidate_paths_used_by_other_main_rows	cid_only_classification
61	433	2005eq	57	LOSS2	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	3	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2005eq.DAT;Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2005eq.DAT;Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2005eq.dat	CSPDR3_anthony;CfA3_DJ20;KAIT_DS15	CSP;PS1_LOWZ_COMBINED(CFA3K);KAITM	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2005eq.DAT;Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2005eq.DAT	MULTIPLE_CID_ONLY_PUBLIC_FILES_OUTSIDE_FROZEN_CROSSWALK
64	437	2009ad	65	CFA4p2	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	2	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2009ad.DAT;Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2009ad.dat	CSPDR3_anthony;PS1_LOWZ_COMBINED_TEXT_DS17	CSP;PS1_LOWZ_COMBINED(CFA4p1)	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2009ad.DAT	MULTIPLE_CID_ONLY_PUBLIC_FILES_OUTSIDE_FROZEN_CROSSWALK
66	440	2008ar	57	LOSS2	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	3	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2008ar.DAT;Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2008ar.dat;Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2008ar.dat	CSPDR3_anthony;KAIT_DS15;PS1_LOWZ_COMBINED_TEXT_DS17	CSP;KAITM;PS1_LOWZ_COMBINED(CFA4p1)	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2008ar.DAT	MULTIPLE_CID_ONLY_PUBLIC_FILES_OUTSIDE_FROZEN_CROSSWALK
68	442	2008ar	65	CFA4p2	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	3	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2008ar.DAT;Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2008ar.dat;Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2008ar.dat	CSPDR3_anthony;KAIT_DS15;PS1_LOWZ_COMBINED_TEXT_DS17	CSP;KAITM;PS1_LOWZ_COMBINED(CFA4p1)	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2008ar.DAT	MULTIPLE_CID_ONLY_PUBLIC_FILES_OUTSIDE_FROZEN_CROSSWALK
81	469	2004ef	57	LOSS2	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	3	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2004ef.DAT;Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2004ef.DAT;Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2004ef.dat	CSPDR3_anthony;CfA3_DJ20;KAIT_DS15	CSP;PS1_LOWZ_COMBINED(CFA3K);KAITM	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2004ef.DAT;Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2004ef.DAT	MULTIPLE_CID_ONLY_PUBLIC_FILES_OUTSIDE_FROZEN_CROSSWALK
87	487	2008gg	51	LOSS1	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	2	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2008gg.DAT;Pantheon+_Data/1_DATA/photometry/LOSS/2008gg.dat	CSPDR3_anthony;LOSS	CSP;KAIT	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2008gg.DAT	MULTIPLE_CID_ONLY_PUBLIC_FILES_OUTSIDE_FROZEN_CROSSWALK
90	492	2007bd	51	LOSS1	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	3	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2007bd.DAT;Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007bd.DAT;Pantheon+_Data/1_DATA/photometry/LOSS/2007bd.dat	CSPDR3_anthony;CfA3_DJ20;LOSS	CSP;PS1_LOWZ_COMBINED(CFA3K);KAIT	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2007bd.DAT;Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007bd.DAT	MULTIPLE_CID_ONLY_PUBLIC_FILES_OUTSIDE_FROZEN_CROSSWALK
97	504	2006en	57	LOSS2	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	2	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2006en.DAT;Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2006en.dat	CfA3_DJ20;KAIT_DS15	PS1_LOWZ_COMBINED(CFA3K);KAITM	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2006en.DAT	MULTIPLE_CID_ONLY_PUBLIC_FILES_OUTSIDE_FROZEN_CROSSWALK
109	523	2004as	57	LOSS2	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	2	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_4SHOOTER2_2004as.DAT;Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2004as.dat	CfA3_DJ20;KAIT_DS15	PS1_LOWZ_COMBINED(CFA3S);KAITM	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_4SHOOTER2_2004as.DAT	MULTIPLE_CID_ONLY_PUBLIC_FILES_OUTSIDE_FROZEN_CROSSWALK
120	537	2006gr	57	LOSS2	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	2	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2006gr.DAT;Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2006gr.dat	CfA3_DJ20;KAIT_DS15	PS1_LOWZ_COMBINED(CFA3K);KAITM	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2006gr.DAT	MULTIPLE_CID_ONLY_PUBLIC_FILES_OUTSIDE_FROZEN_CROSSWALK
136	562	2008hj	65	CFA4p2	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	2	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2008hj.DAT;Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2008hj.dat	CSPDR3_anthony;PS1_LOWZ_COMBINED_TEXT_DS17	CSP;PS1_LOWZ_COMBINED(CFA4p1)	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2008hj.DAT	MULTIPLE_CID_ONLY_PUBLIC_FILES_OUTSIDE_FROZEN_CROSSWALK
139	570	2001eh	57	LOSS2	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	2	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_4SHOOTER2_2001eh.DAT;Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2001eh.dat	CfA3_DJ20;KAIT_DS15	PS1_LOWZ_COMBINED(CFA3S);KAITM	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_4SHOOTER2_2001eh.DAT	MULTIPLE_CID_ONLY_PUBLIC_FILES_OUTSIDE_FROZEN_CROSSWALK
144	575	2007jg	51	LOSS1	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	2	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2007jg.DAT;Pantheon+_Data/1_DATA/photometry/LOSS/2007jg.dat	CSPDR3_anthony;LOSS	CSP;KAIT	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2007jg.DAT	MULTIPLE_CID_ONLY_PUBLIC_FILES_OUTSIDE_FROZEN_CROSSWALK
147	580	2007O	57	LOSS2	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	2	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007O.DAT;Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2007O.dat	CfA3_DJ20;KAIT_DS15	PS1_LOWZ_COMBINED(CFA3K);KAITM	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007O.DAT	MULTIPLE_CID_ONLY_PUBLIC_FILES_OUTSIDE_FROZEN_CROSSWALK
155	593	2003fa	57	LOSS2	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	2	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_4SHOOTER2_2003fa.DAT;Pantheon+_Data/1_DATA/photometry/KAIT_DS15/SN_2003fa.dat	CfA3_DJ20;KAIT_DS15	PS1_LOWZ_COMBINED(CFA3S);KAITM	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_4SHOOTER2_2003fa.DAT	MULTIPLE_CID_ONLY_PUBLIC_FILES_OUTSIDE_FROZEN_CROSSWALK
163	605	2007kk	51	LOSS1	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	2	Pantheon+_Data/1_DATA/photometry/LOSS/2007kk.dat;Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2007kk.dat	LOSS;PS1_LOWZ_COMBINED_TEXT_DS17	KAIT;PS1_LOWZ_COMBINED(CFA4p1)		MULTIPLE_CID_ONLY_PUBLIC_FILES_OUTSIDE_FROZEN_CROSSWALK
164	606	2007kk	65	CFA4p2	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	2	Pantheon+_Data/1_DATA/photometry/LOSS/2007kk.dat;Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2007kk.dat	LOSS;PS1_LOWZ_COMBINED_TEXT_DS17	KAIT;PS1_LOWZ_COMBINED(CFA4p1)		MULTIPLE_CID_ONLY_PUBLIC_FILES_OUTSIDE_FROZEN_CROSSWALK
178	631	2008cf	65	CFA4p2	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	2	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2008cf.DAT;Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2008cf.dat	CSPDR3_anthony;PS1_LOWZ_COMBINED_TEXT_DS17	CSP;PS1_LOWZ_COMBINED(CFA4p1)	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2008cf.DAT	MULTIPLE_CID_ONLY_PUBLIC_FILES_OUTSIDE_FROZEN_CROSSWALK
205	681	2008bz	65	CFA4p2	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	2	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2008bz.DAT;Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2008bz.dat	CSPDR3_anthony;PS1_LOWZ_COMBINED_TEXT_DS17	CSP;PS1_LOWZ_COMBINED(CFA4p1)	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2008bz.DAT	MULTIPLE_CID_ONLY_PUBLIC_FILES_OUTSIDE_FROZEN_CROSSWALK
213	699	2008Y	51	LOSS1	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	2	Pantheon+_Data/1_DATA/photometry/LOSS/2008Y.dat;Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2008Y.dat	LOSS;PS1_LOWZ_COMBINED_TEXT_DS17	KAIT;PS1_LOWZ_COMBINED(CFA4p1)		MULTIPLE_CID_ONLY_PUBLIC_FILES_OUTSIDE_FROZEN_CROSSWALK
214	700	2008Y	65	CFA4p2	NO_ACTIVE_PUBLIC_PHOTOMETRY_FILE	2	Pantheon+_Data/1_DATA/photometry/LOSS/2008Y.dat;Pantheon+_Data/1_DATA/photometry/PS1_LOWZ_COMBINED_TEXT_DS17/CFA4_p1_2008Y.dat	LOSS;PS1_LOWZ_COMBINED_TEXT_DS17	KAIT;PS1_LOWZ_COMBINED(CFA4p1)		MULTIPLE_CID_ONLY_PUBLIC_FILES_OUTSIDE_FROZEN_CROSSWALK
