CID	h0dn_row_a_1based	h0dn_row_b_1based	path_a	path_b	file_a_observation_line_count	file_b_observation_line_count	shared_exact_observation_line_count	observation_line_overlap_classification	evidence_level	direct_final_measurement_ancestry
2007co	51	52	Pantheon+_Data/1_DATA/photometry/SWIFT/SN2007co.dat	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007co.DAT	44	122	0	NO_BYTE_IDENTICAL_OBSERVATION_LINES	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2005na	54	55	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2005na.DAT	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2005na.DAT	170	92	0	NO_BYTE_IDENTICAL_OBSERVATION_LINES	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2005na	54	56	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2005na.DAT		170			UNRESOLVED_FILE_PAIR	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2005na	55	56	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2005na.DAT		92			UNRESOLVED_FILE_PAIR	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2005eq	61	62		Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2005eq.DAT		211		UNRESOLVED_FILE_PAIR	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2005eq	61	63		Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2005eq.DAT		141		UNRESOLVED_FILE_PAIR	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2005eq	62	63	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2005eq.DAT	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2005eq.DAT	211	141	0	NO_BYTE_IDENTICAL_OBSERVATION_LINES	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2009ad	64	65		Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2009ad.DAT		128		UNRESOLVED_FILE_PAIR	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2008ar	66	67		Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2008ar.DAT		132		UNRESOLVED_FILE_PAIR	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2008ar	66	68						UNRESOLVED_FILE_PAIR	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2008ar	67	68	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2008ar.DAT		132			UNRESOLVED_FILE_PAIR	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2004ef	81	82		Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2004ef.DAT		278		UNRESOLVED_FILE_PAIR	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2004ef	81	83		Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2004ef.DAT		32		UNRESOLVED_FILE_PAIR	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2004ef	82	83	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2004ef.DAT	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2004ef.DAT	278	32	0	NO_BYTE_IDENTICAL_OBSERVATION_LINES	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2008gg	87	88		Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2008gg.DAT		198		UNRESOLVED_FILE_PAIR	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2007bd	90	91		Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2007bd.DAT		110		UNRESOLVED_FILE_PAIR	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2007bd	90	92		Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007bd.DAT		46		UNRESOLVED_FILE_PAIR	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2007bd	91	92	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2007bd.DAT	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007bd.DAT	110	46	0	NO_BYTE_IDENTICAL_OBSERVATION_LINES	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2006en	97	98		Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2006en.DAT		58		UNRESOLVED_FILE_PAIR	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2004as	109	110		Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_4SHOOTER2_2004as.DAT		51		UNRESOLVED_FILE_PAIR	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2005iq	113	114	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2005iq.DAT	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2005iq.DAT	67	154	0	NO_BYTE_IDENTICAL_OBSERVATION_LINES	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2006gr	120	121		Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2006gr.DAT		129		UNRESOLVED_FILE_PAIR	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2008hj	135	136	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2008hj.DAT		127			UNRESOLVED_FILE_PAIR	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2001eh	139	140		Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_4SHOOTER2_2001eh.DAT		93		UNRESOLVED_FILE_PAIR	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2007jg	144	145		Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2007jg.DAT		113		UNRESOLVED_FILE_PAIR	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2007O	147	148		Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2007O.DAT		55		UNRESOLVED_FILE_PAIR	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2003fa	155	156		Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_4SHOOTER2_2003fa.DAT		92		UNRESOLVED_FILE_PAIR	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2007kk	163	164						UNRESOLVED_FILE_PAIR	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2005hc	172	173	Pantheon+_Data/1_DATA/photometry/CfA3_DJ20/CFA3_KEPLERCAM_2005hc.DAT	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2005hc.DAT	111	163	0	NO_BYTE_IDENTICAL_OBSERVATION_LINES	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2008cf	177	178	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2008cf.DAT		96			UNRESOLVED_FILE_PAIR	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2008bz	204	205	Pantheon+_Data/1_DATA/photometry/CSPDR3_anthony/CSPDR3_2008bz.DAT		70			UNRESOLVED_FILE_PAIR	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
2008Y	213	214						UNRESOLVED_FILE_PAIR	FROZEN_CROSSWALK_COMPATIBLE_INPUT_CANDIDATE	NOT_ESTABLISHED
